ISSN,Journal,Subject,JourQual,FT,Cnrs,EJL,ABS,Den,Hceres,Scopus,ABDC,Fnege,Meta,JourQual_n,FT_n,Cnrs_n,EJL_n,ABS_n,Den_n,Hceres_n,Scopus_n,ABDC_n,Fnege_n,Meta_n,princomp1,h_index,citedness,JourQual2,unjournal_tier
1744-9480,Accounting in Europe,F&A,C,2,NA,NA,2,1,C,2.2,A,3,NA,6,2,NA,NA,4,3,3,2.2,2,4,NA,1.4851299250242904,46,5.206896551724138,C,4
1030-9616,Accounting Research Journal,F&A,C,2,NA,NA,2,1,NA,1.5,B,NA,NA,6,2,NA,NA,4,3,NA,1.5,3,NA,NA,2.378768403731429,35,2.6842105263157894,C,4
0001-4826,Accounting Review,F&A,A+,1,1,P*,4*,2,A,6.7,A*,1*,A+,1,1,2,1,1,2,1,6.7,1,1,1,-6.493213434361143,NA,NA,A+,1
0951-3574,"Accounting, Auditing and Accountability Journal",F&A,B,2,2,S,3,1,A,6.0,A*,2,NA,4,2,3,4,3,3,1,6,1,3,NA,-0.8350426498511275,NA,NA,B,3
0361-3682,"Accounting, Organizations and Society",F&A,A,1,1,P*,4*,2,A,6.6,A*,1*,A,2,1,2,1,1,2,1,6.6,1,1,2,-6.215532555529419,230,3.8,A,1
0360-0300,ACM Computing Surveys,"MIS, KM",B,2,NA,NA,NA,2,NA,22.3,NA,NA,NA,4,2,NA,NA,NA,2,NA,22.3,NA,NA,NA,-1.1549137410771628,276,23.658986175115206,B,3
1073-0516,ACM Transactions on Computer-Human Interaction,"MIS, KM",B,2,4,NA,NA,2,B,8.8,A*,3,B,4,2,5,NA,NA,2,2,8.8,1,4,3,-0.25215998658137495,128,6.398230088495575,B,3
0362-5915,ACM Transactions on Database Systems,"MIS, KM",B,2,NA,NA,NA,2,NA,9.2,NA,NA,NA,4,2,NA,NA,NA,2,NA,9.2,NA,NA,NA,-1.1549137410771628,164,2.870967741935484,B,3
1046-8188,ACM Transactions on Information Systems,"MIS, KM",B,2,NA,S,NA,2,NA,8.3,C,NA,B,4,2,NA,4,NA,2,NA,8.3,4,NA,3,0.7571145578600119,0,0,B,4
0098-3500,ACM Transactions on Mathematical Software,"MIS, KM",NA,2,NA,NA,NA,2,NA,3.7,NA,NA,NA,NA,2,NA,NA,NA,2,NA,3.7,NA,NA,NA,-1.0212357357474136,150,2.848101265822785,NA,3
1049-3301,ACM Transactions on Modeling and Computer Simulation,"MIS, KM",NA,2,NA,NA,3,1,NA,4.0,B,NA,NA,NA,2,NA,NA,3,3,NA,4,3,NA,NA,0.891185225425516,75,0.9183673469387755,NA,4
1049-331X,ACM Transactions on Software Engineering and Methodol,"oMIS, KM",NA,2,NA,NA,NA,2,NA,5.4,NA,NA,NA,NA,2,NA,NA,NA,2,NA,5.4,NA,NA,NA,-1.0212357357474136,NA,NA,NA,3
0095-3997,Administration and Society,PSM,C,2,2,S,2,2,A,4.5,B,3,B,6,2,3,4,4,2,1,4.5,3,4,3,0.7796192680001577,NA,NA,C,4
0001-8392,Administrative Science Quarterly,Gen & Strat,A+,1,1*,P*,4*,2,A,15.3,A*,1*,A+,1,1,1,1,1,2,1,15.3,1,1,1,-6.890326481877775,454,4.5473684210526315,A+,1
0882-6110,Advances in Accounting,F&A,C,2,4,NA,2,1,B,2.3,A,3,NA,6,2,5,NA,4,3,2,2.3,2,4,NA,1.823731331758384,50,1.2372881355932204,C,4
1475-1488,Advances in Accounting Behavioral Research,F&A,NA,2,NA,NA,2,1,NA,0.8,A,NA,NA,NA,2,NA,NA,4,3,NA,0.8,2,NA,NA,1.1190707103491604,17,0.45454545454545453,NA,4
0001-8678,Advances in Applied Probability,"OR,MS,POM",NA,2,NA,NA,NA,2,NA,1.6,A,NA,NA,NA,2,NA,NA,NA,2,NA,1.6,2,NA,NA,-0.9855957956352235,117,0.75,NA,3
0098-9258,Advances in Consumer Research,Marketing,C,2,NA,NA,2,NA,NA,NA,B,NA,NA,6,2,NA,NA,4,NA,NA,NA,3,NA,NA,2.483782036322323,24,0,C,4
1474-7979,Advances in International Marketing,Marketing,C,2,NA,NA,1,1,NA,NA,C,NA,NA,6,2,NA,NA,5,3,NA,NA,4,NA,NA,3.7081580050647487,23,0,C,5
1474-7871,Advances in Management Accounting,F&A,NA,2,NA,NA,2,NA,NA,2.0,A,NA,NA,NA,2,NA,NA,4,NA,NA,2,2,NA,NA,0.8009009696533969,19,0.1,NA,4
0742-3322,Advances in Strategic Management,Gen & Strat,C,2,3,NA,2,1,B,1.4,C,3,NA,6,2,4,NA,4,3,2,1.4,4,4,NA,2.2888412269872704,43,0,C,4
1468-2621,African Affairs,IB,NA,2,NA,NA,3,2,NA,3.9,NA,NA,NA,NA,2,NA,NA,3,2,NA,3.9,NA,NA,NA,-1.1481386032328444,136,1.9759036144578312,NA,3
0169-5150,Agricultural Economics,Economics,NA,2,2,NA,2,1,A,NA,A,NA,NA,NA,2,3,NA,4,3,1,NA,2,NA,NA,0.31542336627170475,131,3.481081081081081,NA,4
1944-3900,AIS Transactions on Human-Computer Interaction,"MIS, KM",NA,2,NA,NA,2,1,NA,NA,A,NA,NA,NA,2,NA,NA,4,3,NA,NA,2,NA,NA,1.1190707103491604,26,2.2,NA,4
0002-7642,American Behavioral Scientist,"OS/OB,HRM/IR",NA,2,3,NA,1,1,B,3.2,B,NA,NA,NA,2,4,NA,5,3,2,3.2,3,NA,NA,2.810516285032062,172,2.026954177897574,NA,5
0002-7766,American Business Law Journal,Economics,NA,2,NA,NA,NA,1,NA,1.1,A,NA,NA,NA,2,NA,NA,NA,3,NA,1.1,2,NA,NA,0.7735035476598682,37,0.6875,NA,4
1945-7782,American Economic Journal: Applied Economics,Economics,NA,2,1,NA,4,2,A,11.6,A*,1,NA,NA,2,2,NA,2,2,1,11.6,1,2,NA,-3.633243461948237,137,6.586538461538462,NA,2
1945-7731,American Economic Journal: Economic Policy,Economics,NA,2,1,NA,3,2,A,9.3,A*,1,NA,NA,2,2,NA,3,2,1,9.3,1,2,NA,-3.1127983624769433,113,7.171875,NA,2
1945-7707,American Economic Journal: Macroeconomics,Economics,NA,2,1,NA,4,2,A,7.5,A*,1,NA,NA,2,2,NA,2,2,1,7.5,1,2,NA,-3.626000127566956,106,7.820754716981132,NA,2
1945-7669,American Economic Journal: Microeconomics,Economics,NA,2,1,NA,3,2,A,3.6,A*,1,NA,NA,2,2,NA,3,2,1,3.6,1,2,NA,-3.1127983624769433,68,2.6824324324324325,NA,2
0002-8282,American Economic Review,Economics,A+,1,1*,NA,4*,3,A,12.1,A*,1*,A+,1,1,1,NA,1,1,1,12.1,1,1,1,-7.442570168918396,NA,NA,A+,1
2640-205X,American Economic Review: Insights,Economics,NA,2,NA,NA,3,NA,NA,NA,A*,NA,NA,NA,2,NA,NA,3,NA,NA,NA,1,NA,NA,-1.977450490603198,37,9.416666666666666,NA,3
0002-9092,American Journal of Agricultural Economics,Economics,NA,2,1,NA,3,1,A,5.5,A*,NA,NA,NA,2,2,NA,3,3,1,5.5,1,NA,NA,-1.8718882698692187,213,3.1831683168316833,NA,3
0002-9246,American Journal of Economics and Sociology,Economics,NA,2,NA,NA,2,1,NA,0.8,B,NA,NA,NA,2,NA,NA,4,3,NA,0.8,3,NA,NA,2.0106050598580265,68,0.9111111111111111,NA,4
1098-2140,American Journal of Evaluation,PSM,NA,2,NA,NA,NA,2,NA,3.1,C,NA,NA,NA,2,NA,NA,NA,2,NA,3.1,4,NA,NA,1.9616562487657923,77,1.3240740740740742,NA,4
0092-5853,American Journal of Political Science,Sociology,NA,2,NA,NA,NA,2,NA,8.2,A*,NA,NA,NA,2,NA,NA,NA,2,NA,8.2,1,NA,NA,-2.459221817835735,298,6.064327485380117,NA,3
0002-9556,American Journal of Psychology,Psychology,NA,2,NA,NA,1,1,NA,1.7,B,NA,NA,NA,2,NA,NA,5,3,NA,1.7,3,NA,NA,3.130024894290536,2,0.35714285714285715,NA,5
0090-0036,American Journal of Public Health,Economics,B,2,NA,NA,NA,2,NA,6.9,A*,NA,NA,4,2,NA,NA,NA,2,NA,6.9,1,NA,NA,-1.8854382536152525,NA,NA,B,3
0002-9602,American Journal of Sociology,Sociology,NA,2,NA,NA,4*,2,NA,6.9,A*,1,NA,NA,2,NA,NA,1,2,NA,6.9,1,2,NA,-4.260924917427408,358,0.990506329113924,NA,2
0003-0554,American Political Science Review,PSM,NA,2,NA,NA,NA,2,NA,7.3,A*,NA,NA,NA,2,NA,NA,NA,2,NA,7.3,1,NA,NA,-2.459221817835735,363,6.732876712328767,NA,3
0003-066X,American Psychologist,Psychology,B,2,NA,NA,NA,1,NA,6.9,A*,NA,NA,4,2,NA,NA,NA,3,NA,6.9,1,NA,NA,-0.9176893431015712,434,5.868055555555555,B,3
0275-0740,American Review of Public Administration,PSM,C,2,NA,NA,3,2,B,4.3,B,3,B,6,2,NA,NA,3,2,2,4.3,3,4,3,0.7604616753234297,92,2.358974358974359,C,4
0003-1224,American Sociological Review,Sociology,NA,2,NA,NA,4*,2,NA,11.8,A*,1,NA,NA,2,NA,NA,1,2,NA,11.8,1,2,NA,-4.4574908342855855,459,7.117647058823529,NA,2
0003-1305,American Statistician,"OR,MS,POM",NA,2,NA,NA,NA,1,NA,5.8,B,NA,NA,NA,2,NA,NA,NA,3,NA,5.8,3,NA,NA,2.2471295698603773,164,1.5913043478260869,NA,4
1748-4995,Annals of Actuarial Science,F&A,NA,2,NA,NA,1,1,NA,0.9,A,NA,NA,NA,2,NA,NA,5,3,NA,0.9,2,NA,NA,2.238490544781668,25,1.0212765957446808,NA,4
1050-5164,Annals of Applied Probability,"MIS, KM",NA,2,NA,NA,NA,2,NA,3.2,A,NA,NA,NA,2,NA,NA,NA,2,NA,3.2,2,NA,NA,-0.9855957956352235,131,1.5576036866359446,NA,3
0254-5330,Annals of Operations Research,"OR,MS,POM",B,2,2,S,3,1,A,5.2,A,2,B,4,2,3,4,3,3,1,5.2,2,3,3,-0.4114511923640838,159,4.7087691069991955,B,3
0091-1798,Annals of Probability,"OR,MS,POM",NA,2,NA,NA,NA,2,NA,4.3,A*,NA,NA,NA,2,NA,NA,NA,2,NA,4.3,1,NA,NA,-2.459221817835735,180,2.143884892086331,NA,3
1370-4788,Annals of Public and Cooperative Economics,Economics,NA,2,NA,NA,2,1,C,2.9,B,4,NA,NA,2,NA,NA,4,3,3,2.9,3,5,NA,2.4100076420974883,0,0,NA,4
0570-1864,Annals of Regional Science,Economics,NA,2,2,NA,2,1,A,3.2,B,4,NA,NA,2,3,NA,4,3,1,3.2,3,5,NA,1.5370860575005767,92,2.246987951807229,NA,4
0090-5364,Annals of Statistics,"OR,MS,POM",NA,2,NA,NA,4*,2,NA,5.8,A*,NA,A,NA,2,NA,NA,1,2,NA,5.8,1,NA,2,-4.229682474990269,307,3.2054794520547945,NA,2
0004-5608,Annals of the Association of American Geographers,Sociology,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,-1.0212357357474136,180,0,NA,3
0160-7383,Annals of Tourism Research,Tourism,NA,2,3,S,4,2,A,7.0,A*,2,NA,NA,2,4,4,2,2,1,7,1,3,NA,-1.395839203340222,267,8.081005586592179,NA,3
1941-1383,Annual Review of Economics,Economics,NA,2,2,NA,3,1,A,5.5,B,NA,NA,NA,2,3,NA,3,3,1,5.5,3,NA,NA,0.22005967317562075,107,11.482758620689655,NA,4
1941-1367,Annual Review of Financial Economics,Economics,NA,2,NA,NA,3,1,NA,4.0,B,NA,NA,NA,2,NA,NA,3,3,NA,4,3,NA,NA,0.891185225425516,67,9.76086956521739,NA,4
2327-0616,Annual Review of Organizational Psychology and Organiza,"Psych, OS/OB",NA,2,NA,NA,NA,NA,C,22.3,A*,4,NA,NA,2,NA,NA,NA,NA,3,22.3,1,5,NA,0.7548954464776976,NA,NA,NA,4
0066-4308,Annual Review of Psychology,Psychology,NA,2,NA,NA,4,2,NA,36.7,A*,NA,NA,NA,2,NA,NA,2,2,NA,36.7,1,NA,NA,-3.110262640557759,356,25.476190476190474,NA,2
0360-0572,Annual Review of Sociology,Sociology,NA,2,NA,NA,4*,2,NA,10.4,A*,2,NA,NA,2,NA,NA,1,2,NA,10.4,1,3,NA,-3.4847856952602596,280,10.535714285714286,NA,2
0066-4812,Antipode,Sociology,NA,2,NA,NA,3,2,NA,5.9,NA,NA,NA,NA,2,NA,NA,3,2,NA,5.9,NA,NA,NA,-1.1481386032328444,132,3.4170403587443947,NA,3
0003-6846,Applied Economics,Economics,B,2,2,NA,2,1,A,2.3,A,3,NA,4,2,3,NA,4,3,1,2.3,2,4,NA,0.15869398613717212,141,2.121836925960637,B,3
1350-4851,Applied Economics Letters,Economics,NA,2,4,NA,1,1,C,1.4,B,NA,NA,NA,2,5,NA,5,3,3,1.4,3,NA,NA,3.282398394339457,83,1.3151581243184296,NA,5
0003-6870,Applied Ergonomics,"OS/OB,HRM/IR",NA,2,NA,NA,3,1,NA,7.1,NA,NA,NA,NA,2,NA,NA,3,3,NA,7.1,NA,NA,NA,1.1933408327671675,154,3.9356060606060606,NA,4
0960-3107,Applied Financial Economics,Economics,C,2,4,S,2,1,C,NA,B,4,NA,6,2,5,4,4,3,3,NA,3,5,NA,2.5344773028989804,92,0,C,4
1350-486X,Applied Mathematical Finance,F&A,C,2,NA,NA,2,1,C,1.3,B,4,NA,6,2,NA,NA,4,3,3,1.3,3,5,NA,2.562332801784722,57,1.6388888888888888,C,4
0146-6216,Applied Psychological Measurement,Psychology,NA,2,NA,NA,2,1,NA,2.9,B,NA,NA,NA,2,NA,NA,4,3,NA,2.9,3,NA,NA,2.0106050598580265,120,1.1904761904761905,NA,4
0269-994X,Applied Psychology,Psychology,B,2,3,S,3,1,B,5.3,A,2,B,4,2,4,4,3,3,2,5.3,2,3,3,-0.014338144847452959,137,4.658823529411765,B,3
0004-3702,Artificial Intelligence,"MIS, KM",B,2,NA,NA,NA,2,NA,8.3,NA,NA,NA,4,2,NA,NA,NA,2,NA,8.3,NA,NA,NA,-1.1549137410771628,NA,NA,B,3
1360-2381,Asia Pacific Business Review,IB,C,2,3,NA,2,1,B,2.7,B,4,NA,6,2,4,NA,4,3,2,2.7,3,5,NA,2.2873942515325494,50,2.1319444444444446,C,4
1038-4111,Asia Pacific Journal of Human Resources,"OS/OB,HRM/IR",NA,2,4,NA,2,1,C,4.4,B,4,NA,NA,2,5,NA,4,3,3,4.4,3,5,NA,2.6968325029772777,57,3.4086021505376345,NA,5
0217-4561,Asia Pacific Journal of Management,IB,C,2,4,S,3,2,B,5.4,A,3,B,6,2,5,4,3,2,2,5.4,2,4,3,0.7622224219724795,108,4.049180327868853,C,4
1355-5855,Asia Pacific Journal of Marketing and Logistics,Marketing,NA,2,NA,NA,1,1,NA,4.5,A,NA,NA,NA,2,NA,NA,5,3,NA,4.5,2,NA,NA,2.238490544781668,70,4.358267716535433,NA,4
1094-1665,Asia Pacific Journal of Tourism Research,Tourism,NA,2,NA,NA,1,1,NA,4.4,A,NA,NA,NA,2,NA,NA,5,3,NA,4.4,2,NA,NA,2.238490544781668,69,4.048275862068966,NA,4
1608-1625,Asia-Pacific Journal of Accounting and Economics,F&A,C,2,NA,NA,2,1,NA,1.4,B,4,NA,6,2,NA,NA,4,3,NA,1.4,3,5,NA,2.562332801784722,NA,NA,C,4
0218-5377,Asian Journal of Political Science,PSM,NA,2,NA,NA,NA,1,NA,1.2,B,NA,NA,NA,2,NA,NA,NA,3,NA,1.2,3,NA,NA,2.2471295698603773,26,1.1,NA,4
0515-0361,Astin Bulletin,F&A,A,2,3,NA,2,2,B,2.1,A,3,B,2,2,4,NA,4,2,2,2.1,2,4,3,-0.7222338965148758,78,1.4848484848484849,A,3
0197-4254,Atlantic Economic Journal,Economics,NA,2,NA,NA,1,1,NA,0.7,C,NA,NA,NA,2,NA,NA,5,3,NA,0.7,4,NA,NA,4.021559243799406,44,0.609375,NA,5
0278-0380,Auditing,F&A,B,2,2,P,3,2,A,4.1,A*,2,A,4,2,3,2,3,2,1,4.1,1,3,2,-2.216174836968068,121,2.4927536231884058,B,3
1449-8618,Australasian Journal of Information Systems,"MIS, KM",C,2,NA,NA,1,NA,NA,NA,A,NA,NA,6,2,NA,NA,5,NA,NA,NA,2,NA,NA,2.6219987584852995,39,2.6721311475409837,C,5
1441-3582,Australasian Marketing Journal,Marketing,D,2,NA,NA,1,1,NA,3.9,A,NA,NA,8,2,NA,NA,5,3,NA,3.9,2,NA,NA,3.8517346938831745,67,2.917525773195876,D,5
1035-6908,Australian Accounting Review,F&A,C,2,NA,NA,2,1,NA,3.5,B,4,NA,6,2,NA,NA,4,3,NA,3.5,3,5,NA,2.562332801784722,57,2.1690140845070425,C,4
0311-6336,Australian Bulletin of Labour,"OS/OB,HRM/IR",NA,2,NA,NA,1,NA,NA,NA,B,NA,NA,NA,2,NA,NA,5,NA,NA,NA,3,NA,NA,3.5792524299099955,18,0,NA,5
0004-8992,Australian Economic History Review,Bus Hist,NA,2,3,NA,2,1,B,0.9,B,NA,NA,NA,2,4,NA,4,3,2,0.9,3,NA,NA,1.751229033757538,41,0.9090909090909091,NA,4
0004-900X,Australian Economic Papers,Economics,NA,2,4,NA,1,1,C,1.3,B,NA,NA,NA,2,5,NA,5,3,3,1.3,3,NA,NA,3.282398394339457,48,1.0945945945945945,NA,5
0004-9018,Australian Economic Review,Economics,NA,2,4,NA,1,1,C,1.2,B,NA,NA,NA,2,5,NA,5,3,3,1.2,3,NA,NA,3.282398394339457,51,0.8431372549019608,NA,5
1364-985X,Australian Journal of Agricultural and Resource Economics,Economics,NA,2,3,NA,2,1,B,2.9,A,NA,NA,NA,2,4,NA,4,3,2,2.9,2,NA,NA,1.0017151966831987,72,2.00990099009901,NA,4
1030-7222,Australian Journal of Labour Law,"OS/OB,HRM/IR",NA,2,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,-0.21989593517080264,9,0.3333333333333333,NA,3
0312-8962,Australian Journal of Management,Gen & Strat,C,2,NA,NA,2,1,NA,2.7,A,4,NA,6,2,NA,NA,4,3,NA,2.7,2,5,NA,2.0357414953738378,66,1.8987341772151898,C,4
0004-9530,Australian Journal of Psychology,Psychology,NA,2,NA,NA,1,1,NA,2.9,B,NA,NA,NA,2,NA,NA,5,3,NA,2.9,3,NA,NA,3.130024894290536,75,4.2727272727272725,NA,5
0313-6647,Australian Journal of Public Administration,PSM,C,2,NA,NA,2,1,NA,2.4,A,NA,NA,6,2,NA,NA,4,3,NA,2.4,2,NA,NA,1.753160321738701,68,2.107142857142857,C,4
1555-0494,B.E. Journal of Economic Analysis and Policy,Economics,NA,2,3,NA,2,1,B,0.9,NA,NA,NA,NA,2,4,NA,4,3,2,0.9,NA,NA,NA,1.4271945256063028,NA,NA,NA,4
1935-1690,B.E. Journal of Macroeconomics,Economics,NA,2,2,NA,2,1,A,0.9,A,NA,NA,NA,2,3,NA,4,3,1,0.9,2,NA,NA,0.31542336627170475,36,0.5,NA,4
1935-1704,B.E. Journal of Theoretical Economics,Economics,NA,2,3,NA,2,1,B,0.5,A,NA,NA,NA,2,4,NA,4,3,2,0.5,2,NA,NA,1.106850353461435,33,0.28846153846153844,NA,4
0197-3533,Basic and Applied Social Psychology,Psychology,NA,2,NA,NA,1,1,NA,2.9,B,NA,NA,NA,2,NA,NA,5,3,NA,2.9,3,NA,NA,3.130024894290536,109,2.3846153846153846,NA,5
1469-1825,Behavioral and Brain Sciences,Psychology,NA,2,NA,NA,4,2,NA,3.5,NA,NA,NA,NA,2,NA,NA,2,2,NA,3.5,NA,NA,NA,-2.580790468578021,285,1.0617088607594938,NA,3
1050-4753,Behavioral Research in Accounting,F&A,B,2,3,S,3,2,B,2.7,A,3,B,4,2,4,4,3,2,2,2.7,2,4,3,-0.1902523832076009,55,0.8333333333333334,B,3
0144-929X,Behaviour and Information Technology,"MIS, KM",NA,2,NA,NA,2,2,NA,4.5,A,NA,B,NA,2,NA,NA,4,2,NA,4.5,2,NA,3,0.020111377816131194,NA,NA,NA,3
1463-5771,Benchmarking,"OR,MS,POM",C,2,NA,NA,1,1,NA,5.0,B,NA,NA,6,2,NA,NA,5,3,NA,5,3,NA,NA,3.0825499230720204,91,4.649275362318841,C,5
0340-5370,Betriebswirtschaftliche Forschung und Praxis,Gen & Strat,C,2,NA,NA,NA,1,NA,0.1,C,NA,NA,6,2,NA,NA,NA,3,NA,0.1,4,NA,NA,3.4288513344714815,5,0,C,5
0006-3444,Biometrika,"OR,MS,POM",NA,2,NA,NA,4,2,NA,3.1,A*,NA,A,NA,2,NA,NA,2,2,NA,3.1,1,NA,2,-3.110262640557759,322,1.920863309352518,NA,2
0890-8389,British Accounting Review,F&A,C,2,3,S,3,1,B,7.0,A*,3,B,6,2,4,4,3,3,2,7,1,4,3,0.5097910060816591,112,5.858823529411764,C,4
0141-1926,British Educational Research Journal,Education,NA,2,NA,NA,3,2,NA,3.3,NA,NA,NA,NA,2,NA,NA,3,2,NA,3.3,NA,NA,NA,-1.1481386032328444,127,2.987878787878788,NA,3
0007-0998,British Journal of Educational Psychology,Education,NA,2,NA,NA,NA,1,NA,4.9,NA,NA,NA,NA,2,NA,NA,NA,3,NA,4.9,NA,NA,NA,1.5707144746137125,154,3.149171270718232,NA,4
0007-1013,British Journal of Educational Technology,Education,NA,2,NA,NA,2,2,NA,7.6,A,NA,NA,NA,2,NA,NA,4,2,NA,7.6,2,NA,NA,0.020111377816131194,141,7.57258064516129,NA,3
0007-1080,British Journal of Industrial Relations,"OS/OB,HRM/IR",B,2,2,P,4,2,A,3.8,A*,2,A,4,2,3,2,2,2,1,3.8,1,3,2,-2.604206320541964,103,0.8866666666666667,B,3
1045-3172,British Journal of Management,Gen & Strat,B,2,2,S,4,2,A,6.8,A,1,B,4,2,3,4,2,2,1,6.8,2,2,3,-1.7601146158035406,156,4.892430278884462,B,3
0007-1234,British Journal of Political Science,PSM,NA,2,NA,NA,NA,2,NA,6.9,A,NA,NA,NA,2,NA,NA,NA,2,NA,6.9,2,NA,NA,-0.9855957956352235,164,3.5819209039548023,NA,3
0007-1269,British Journal of Psychology,Psychology,NA,2,NA,NA,3,1,NA,6.4,A,NA,NA,NA,2,NA,NA,3,3,NA,6.4,2,NA,NA,-3.491240833502107e-4,NA,NA,NA,3
0144-6665,British Journal of Social Psychology,Psychology,NA,2,NA,NA,3,1,NA,5.1,A,NA,NA,NA,2,NA,NA,3,3,NA,5.1,2,NA,NA,-3.491240833502107e-4,NA,NA,NA,3
0045-3102,British Journal of Social Work,PSM,NA,2,NA,NA,NA,2,NA,3.0,NA,NA,NA,NA,2,NA,NA,NA,2,NA,3,NA,NA,NA,-1.0212357357474136,107,1.494296577946768,NA,3
0007-1315,British Journal of Sociology,Sociology,NA,2,NA,NA,3,2,NA,4.6,A,3,NA,NA,2,NA,NA,3,2,NA,4.6,2,4,NA,-0.579181766783804,221,2.127659574468085,NA,3
0007-2303,Brookings Papers on Economic Activity,Economics,NA,2,1,NA,3,1,A,15.6,A,2,NA,NA,2,2,NA,3,3,1,15.6,2,3,NA,-1.3022780844651267,NA,NA,NA,3
0307-3378,Bulletin of Economic Research,Economics,NA,2,3,NA,2,1,B,1.0,B,NA,NA,NA,2,4,NA,4,3,2,1,3,NA,NA,1.751229033757538,56,0.875,NA,4
0007-4918,Bulletin of Indonesian Economic Studies,Economics,NA,2,NA,NA,1,1,NA,3.4,B,NA,NA,NA,2,NA,NA,5,3,NA,3.4,3,NA,NA,3.130024894290536,54,1.9056603773584906,NA,5
0007-6503,Business and Society,Gen & Strat,B,2,2,S,3,2,A,11.0,A,2,B,4,2,3,4,3,2,1,11,2,3,3,-0.9797242814769381,NA,NA,B,3
0962-8770,Business Ethics,"OS/OB,HRM/IR",C,2,4,S,2,1,B,5.9,B,3,NA,6,2,5,4,4,3,2,5.9,3,4,NA,2.142118452146274,NA,NA,C,4
1052-150X,Business Ethics Quarterly,"OS/OB,HRM/IR",B,2,2,NA,4,1,A,4.6,A,2,B,4,2,3,NA,2,3,1,4.6,2,3,3,-1.214326830540212,117,1.6341463414634145,B,3
0007-6791,Business History,Bus Hist,NA,2,2,P,4,2,A,2.0,A,2,NA,NA,2,3,2,2,2,1,2,2,3,NA,-2.3452612803138213,65,0.7133333333333334,NA,3
